#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Replicons,Scaffolds,Release Date
"Alistipes communis","Bacteria;FCB group;Bacteroidetes/Chlorobi group","5CBH24","SAMD00166231","PRJDB8150","GCA_006542665.1","Complete","chromosome:NZ_AP019735.1/AP019735.1",1,"2019-06-12T23:06:00Z"
"Alistipes dispar","Bacteria;FCB group;Bacteroidetes/Chlorobi group","5CPEGH6","SAMD00166232","PRJDB8150","GCA_006542685.1","Complete","chromosome:NZ_AP019736.1/AP019736.1",1,"2019-06-12T23:06:00Z"
"Dialister hominis","Bacteria;Terrabacteria group;Firmicutes","5BBH33","SAMD00172296","PRJDB8335","GCA_007164725.1","Complete","chromosome:NZ_AP019697.1/AP019697.1",1,"2019-07-10T23:02:00Z"
"Streptomyces qinzhouensis","Bacteria;Terrabacteria group;Actinobacteria","SSL-25","SAMN12389286","PRJNA557086","GCA_007856155.1","Complete","chromosome:NZ_CP042266.1/CP042266.1",1,"2019-08-06T00:00:00Z"
"Streptococcus koreensis","Bacteria;Terrabacteria group;Firmicutes","JS71","SAMN10135881","PRJNA493533","GCA_003627135.1","Complete","chromosome:NZ_CP032620.1/CP032620.1",1,"2018-10-07T00:00:00Z"
"Streptococcus gwangjuense","Bacteria;Terrabacteria group;Firmicutes","ChDC B345","SAMN10135937","PRJNA493538","GCA_003627155.1","Complete","chromosome:NZ_CP032621.1/CP032621.1",1,"2018-10-07T00:00:00Z"
"Streptococcus periodonticum","Bacteria;Terrabacteria group;Firmicutes","KCOM 2412","SAMN10465145","PRJNA506614","GCA_003963555.1","Complete","chromosome:NZ_CP034543.1/CP034543.1",1,"2018-12-23T00:00:00Z"
"Paenibacillus lutimineralis","Bacteria;Terrabacteria group;Firmicutes","MBLB1234","SAMN10524882","PRJNA508482","GCA_003991425.1","Complete","chromosome:NZ_CP034346.1/CP034346.1",1,"2019-01-03T00:00:00Z"
"Gordonia insulae","Bacteria;Terrabacteria group;Actinobacteria","MMS17-SY073","SAMN10160079","PRJNA494249","GCA_003855095.1","Complete","chromosome:NZ_CP033972.1/CP033972.1",1,"2018-12-02T00:00:00Z"
"Shewanella polaris","Bacteria;Proteobacteria;Gammaproteobacteria","SM1901","SAMN12027935","PRJNA548024","GCA_006385555.1","Complete","chromosome:NZ_CP041036.1/CP041036.1",1,"2019-06-23T00:00:00Z"
"Ferrovibrio terrae","Bacteria;Proteobacteria;Alphaproteobacteria","K5","SAMN12233514","PRJNA553295","GCA_007197755.1","Complete","chromosome:NZ_CP041636.1/CP041636.1",1,"2019-07-21T00:00:00Z"
"Acetobacter oryzoeni","Bacteria;Proteobacteria;Alphaproteobacteria","B6","SAMN10691009","PRJNA512941","GCA_004014775.2","Complete","chromosome:NZ_CP042808.1/CP042808.1; plasmid unnamed1:NZ_CP042809.1/CP042809.1; plasmid unnamed2:NZ_CP042810.1/CP042810.1; plasmid unnamed3:NZ_CP042811.1/CP042811.1",4,"2019-08-09T00:00:00Z"
"Formosa sediminum","Bacteria;FCB group;Bacteroidetes/Chlorobi group","PS13","SAMN12233528","PRJNA553300","GCA_007197735.1","Complete","chromosome:NZ_CP041637.1/CP041637.1",1,"2019-07-21T00:00:00Z"
"Psychrobacillus glaciei","Bacteria;Terrabacteria group;Firmicutes","PB01","SAMN09708448","PRJNA482511","GCA_008973485.1","Complete","chromosome:NZ_CP031223.1/CP031223.1; plasmid pPB01:NZ_CP031224.1/CP031224.1",2,"2019-10-04T00:00:00Z"
"Halioglobus maricola","Bacteria;Proteobacteria;Gammaproteobacteria","IMCC14385","SAMN10929370","PRJNA522358","GCA_009388985.1","Complete","chromosome:NZ_CP036422.1/CP036422.1",1,"2019-10-29T00:00:00Z"
"Tuwongella immobilis","Bacteria;PVC group;Planctomycetes","MBLW1","SAMEA5540090","PRJEB31922","GCA_901538355.1","Complete","chromosome 1:NZ_LR593887.1/LR593887.1",1,"2020-02-03T00:00:00Z"
"Xylanimonas allomyrinae","Bacteria;Terrabacteria group;Actinobacteria","2JSPR-7","SAMN10817575","PRJNA516960","GCA_004135345.1","Complete","chromosome:NZ_CP035495.1/CP035495.1; plasmid unnamed1:NZ_CP035496.1/CP035496.1",2,"2019-02-03T00:00:00Z"
"Desulfovibrio sulfodismutans DSM 3696","Bacteria;Proteobacteria;delta/epsilon subdivisions","DSM 3696","SAMN13087127","PRJNA578907","GCA_013376455.1","Complete","chromosome:NZ_CP045504.1/CP045504.1; plasmid p1:NZ_CP045505.1/CP045505.1",2,"2020-06-29T00:00:00Z"
"Vibrio astriarenae","Bacteria;Proteobacteria;Gammaproteobacteria","HN897","SAMN13738063","PRJNA599044","GCA_010587385.1","Complete","chromosome 1:NZ_CP047475.1/CP047475.1; chromosome 2:NZ_CP047476.1/CP047476.1",2,"2020-02-14T00:00:00Z"
"Capnocytophaga endodontalis","Bacteria;FCB group;Bacteroidetes/Chlorobi group","ChDC OS43","SAMN07125685","PRJNA386716","GCA_002209445.1","Complete","chromosome:NZ_CP022022.1/CP022022.1",1,"2017-06-27T00:00:00Z"
"Dialister massiliensis","Bacteria;Terrabacteria group;Firmicutes","Marseille-P5638","SAMEA4588005","PRJEB25867","GCA_900343095.1","Complete","chromosome contig00001:NZ_LT996885.1/LT996885.1",1,"2018-04-18T00:00:00Z"
"Microbacterium protaetiae","Bacteria;Terrabacteria group;Actinobacteria","DFW100M-13","SAMN10817558","PRJNA516959","GCA_004135285.1","Complete","chromosome:NZ_CP035494.1/CP035494.1",1,"2019-02-03T00:00:00Z"
"Ancylobacter pratisalsi","Bacteria;Proteobacteria;Alphaproteobacteria","DSM 102029","SAMN14048691","PRJNA605092","GCA_010669125.1","Complete","chromosome:NZ_CP048630.1/CP048630.1; plasmid pLGM:NZ_CP048631.1/CP048631.1",2,"2020-02-17T00:00:00Z"
"Aminipila butyrica","Bacteria;Terrabacteria group;Firmicutes","DSM 103574","SAMN14052868","PRJNA605261","GCA_010669305.1","Complete","chromosome:NZ_CP048649.1/CP048649.1",1,"2020-02-17T00:00:00Z"
"Mycolicibacterium pulveris","Bacteria;Terrabacteria group;Actinobacteria","JCM 6370","SAMD00153163","PRJDB7717","GCA_010725725.1","Complete","chromosome:NZ_AP022599.1/AP022599.1",1,"2020-02-06T00:00:00Z"
"Mycobacterium novum","Bacteria;Terrabacteria group;Actinobacteria","JCM 6391","SAMD00153168","PRJDB7717","GCA_010726505.1","Complete","chromosome:NZ_AP022562.1/AP022562.1",1,"2020-02-06T00:00:00Z"
"Mycobacterium gallinarum","Bacteria;Terrabacteria group;Actinobacteria","JCM 6399","SAMD00153170","PRJDB7717","GCA_010726765.1","Complete","chromosome:NZ_AP022601.1/AP022601.1; plasmid pJCM6399:NZ_AP022602.1/AP022602.1",2,"2020-02-06T00:00:00Z"
"Mycobacterium cookii","Bacteria;Terrabacteria group;Actinobacteria","JCM 12404","SAMD00153177","PRJDB7717","GCA_010727945.1","Complete","chromosome:NZ_AP022569.1/AP022569.1",1,"2020-02-06T00:00:00Z"
"Mycolicibacterium poriferae","Bacteria;Terrabacteria group;Actinobacteria","JCM 12603","SAMD00153179","PRJDB7717","GCA_010728325.1","Complete","chromosome:NZ_AP022570.1/AP022570.1; plasmid pJCM12603:NZ_AP022571.1/AP022571.1",2,"2020-02-06T00:00:00Z"
"Mycolicibacterium gadium","Bacteria;Terrabacteria group;Actinobacteria","JCM 12688","SAMD00153182","PRJDB7717","GCA_010728925.1","Complete","chromosome:NZ_AP022608.1/AP022608.1",1,"2020-02-06T00:00:00Z"
"Mycolicibacterium psychrotolerans","Bacteria;Terrabacteria group;Actinobacteria","JCM 13323","SAMD00153184","PRJDB7717","GCA_010729305.1","Complete","chromosome:NZ_AP022574.1/AP022574.1",1,"2020-02-06T00:00:00Z"
"Mycolicibacterium madagascariense","Bacteria;Terrabacteria group;Actinobacteria","JCM 13574","SAMD00153188","PRJDB7717","GCA_010729665.1","Complete","chromosome:NZ_AP022610.1/AP022610.1; plasmid pJCM13574:NZ_AP022611.1/AP022611.1",2,"2020-02-06T00:00:00Z"
"Mycobacterium seoulense","Bacteria;Terrabacteria group;Actinobacteria","JCM 16018","SAMD00153201","PRJDB7717","GCA_010731595.1","Complete","chromosome:NZ_AP022582.1/AP022582.1",1,"2020-02-06T00:00:00Z"
"Mycobacterium stomatepiae","Bacteria;Terrabacteria group;Actinobacteria","JCM 17783","SAMD00153208","PRJDB7717","GCA_010731715.1","Complete","chromosome:NZ_AP022587.1/AP022587.1",1,"2020-02-06T00:00:00Z"
"Mycolicibacterium sediminis","Bacteria;Terrabacteria group;Actinobacteria","JCM 17899","SAMD00153209","PRJDB7717","GCA_010731735.1","Complete","chromosome:NZ_AP022588.1/AP022588.1",1,"2020-02-06T00:00:00Z"
"Mycolicibacterium arabiense","Bacteria;Terrabacteria group;Actinobacteria","JCM 18538","SAMD00153213","PRJDB7717","GCA_010731815.2","Complete","chromosome:NZ_AP022593.1/AP022593.1; plasmid pJCM18538:NZ_AP022592.1/AP022592.1",2,"2020-02-06T00:00:00Z"
"Mycolicibacterium anyangense","Bacteria;Terrabacteria group;Actinobacteria","JCM 30275","SAMD00153216","PRJDB7717","GCA_010731855.1","Complete","chromosome:NZ_AP022620.1/AP022620.1",1,"2020-02-06T00:00:00Z"
"Mycolicibacterium sarraceniae","Bacteria;Terrabacteria group;Actinobacteria","JCM 30395","SAMD00153217","PRJDB7717","GCA_010731875.1","Complete","chromosome:NZ_AP022595.1/AP022595.1",1,"2020-02-06T00:00:00Z"
"Mycolicibacterium helvum","Bacteria;Terrabacteria group;Actinobacteria","JCM 30396","SAMD00153218","PRJDB7717","GCA_010731895.1","Complete","chromosome:NZ_AP022596.1/AP022596.1",1,"2020-02-06T00:00:00Z"
"Providencia vermicola","Bacteria;Proteobacteria;Gammaproteobacteria","P8538","SAMN14083272","PRJNA606029","GCA_010748935.1","Complete","chromosome:NZ_CP048796.1/CP048796.1; plasmid p8538-NDM-1:NZ_CP048797.1/CP048797.1",2,"2020-02-19T00:00:00Z"
"Neorickettsia findlayensis","Bacteria;Proteobacteria;Alphaproteobacteria","Fin17","SAMN13546316","PRJNA595124","GCA_009856525.1","Complete","chromosome:NZ_CP047224.1/CP047224.1",1,"2020-01-11T00:00:00Z"
"Halomonas socia","Bacteria;Proteobacteria;Gammaproteobacteria","CKY01","SAMN14085629","PRJNA606118","GCA_010977575.1","Complete","chromosome:NZ_CP048812.1/CP048812.1",1,"2020-02-24T00:00:00Z"
"Spartinivicinus ruber","Bacteria;Proteobacteria;Gammaproteobacteria","S2-4-1H","SAMN14122253","PRJNA607118","GCA_011009015.1","Complete","chromosome:NZ_CP048878.1/CP048878.1; plasmid pA:NZ_CP048879.1/CP048879.1; plasmid pB:NZ_CP048880.1/CP048880.1; plasmid pC:NZ_CP048881.1/CP048881.1",4,"2020-02-25T00:00:00Z"
"Streptomyces fodineus","Bacteria;Terrabacteria group;Actinobacteria","TW1S1","SAMN05520841","PRJNA338069","GCA_001735805.1","Complete","chromosome:NZ_CP017248.1/CP017248.1",1,"2016-09-20T00:00:00Z"
"Hymenobacter jejuensis","Bacteria;FCB group;Bacteroidetes/Chlorobi group","17J68-5","SAMN11935848","PRJNA545865","GCA_006337165.1","Complete","chromosome:NZ_CP040896.1/CP040896.1",1,"2019-06-13T00:00:00Z"
"Pseudohalocynthiibacter aestuariivivens","Bacteria;Proteobacteria;Alphaproteobacteria","RR4-35","SAMN14132392","PRJNA607394","GCA_011040495.1","Complete","chromosome:NZ_CP049037.1/CP049037.1; plasmid pRR4-35_1:NZ_CP049038.1/CP049038.1; plasmid pRR4-35_2:NZ_CP049039.1/CP049039.1; plasmid pRR4-35_3:NZ_CP049040.1/CP049040.1; plasmid pRR4-35_4:NZ_CP049041.1/CP049041.1; plasmid pRR4-35_5:NZ_CP049042.1/CP049042.1; plasmid pRR4-35_6:NZ_CP049043.1/CP049043.1",7,"2020-02-29T00:00:00Z"
"Rhizobium pseudoryzae","Bacteria;Proteobacteria;Alphaproteobacteria","DSM 19479","SAMN14167797","PRJNA608222","GCA_011046245.1","Complete","chromosome:NZ_CP049241.1/CP049241.1; plasmid unnamed1:NZ_CP049242.1/CP049242.1; plasmid unnamed2:NZ_CP049243.1/CP049243.1; plasmid unnamed3:NZ_CP049244.1/CP049244.1; plasmid unnamed4:NZ_CP049245.1/CP049245.1",5,"2020-03-02T00:00:00Z"
"Rhizobium rhizoryzae","Bacteria;Proteobacteria;Alphaproteobacteria","DSM 29514","SAMN14167853","PRJNA608227","GCA_011046895.1","Complete","chromosome:NZ_CP049250.1/CP049250.1; plasmid unnamed1:NZ_CP049247.1/CP049247.1; plasmid unnamed2:NZ_CP049248.1/CP049248.1; plasmid unnamed3:NZ_CP049249.1/CP049249.1; plasmid unnamed4:NZ_CP049251.1/CP049251.1; plasmid unnamed5:NZ_CP049252.1/CP049252.1",6,"2020-03-02T00:00:00Z"
"Microbacterium amylolyticum","Bacteria;Terrabacteria group;Actinobacteria","DSM 24221","SAMN14167854","PRJNA608228","GCA_011046975.1","Complete","chromosome:NZ_CP049253.1/CP049253.1; plasmid unnamed1:NZ_CP049254.1/CP049254.1",2,"2020-03-02T00:00:00Z"
"Microbacterium endophyticum","Bacteria;Terrabacteria group;Actinobacteria","DSM 27099","SAMN14167856","PRJNA608230","GCA_011047135.1","Complete","chromosome:NZ_CP049255.1/CP049255.1",1,"2020-03-02T00:00:00Z"
"Paenibacillus albus","Bacteria;Terrabacteria group;Firmicutes","18JY67-1","SAMN10531477","PRJNA508838","GCA_003952225.1","Complete","chromosome:NZ_CP034437.1/CP034437.1",1,"2018-12-18T00:00:00Z"
"Blastochloris tepida","Bacteria;Proteobacteria;Alphaproteobacteria","GI","SAMD00131669","PRJDB7143","GCA_003966715.1","Complete","chromosome:NZ_AP018907.1/AP018907.1",1,"2018-08-29T00:00:00Z"
"Flavobacterium nackdongense","Bacteria;FCB group;Bacteroidetes/Chlorobi group","GS13","SAMN11098580","PRJNA526406","GCA_004355225.1","Complete","chromosome:NZ_CP037933.1/CP037933.1",1,"2019-03-19T00:00:00Z"
"Jeotgalibaca arthritidis","Bacteria;Terrabacteria group;Firmicutes","CECT 9157","SAMN14260637","PRJNA609845","GCA_011100465.1","Complete","chromosome:NZ_CP049740.1/CP049740.1",1,"2020-03-10T00:00:00Z"
"Sutterella faecalis","Bacteria;Proteobacteria;Betaproteobacteria","KGMB03119","SAMN11897248","PRJNA545582","GCA_006337085.1","Complete","chromosome:NZ_CP040882.1/CP040882.1",1,"2019-06-13T00:00:00Z"
"Massilistercora timonensis","Bacteria;Terrabacteria group;Firmicutes","Marseille-P3756","SAMEA104651889","PRJEB24953","GCA_900312975.1","Complete","chromosome contig00001:NZ_LT990039.1/LT990039.1",1,"2018-03-15T00:00:00Z"
"Pseudomonas sediminis","Bacteria;Proteobacteria;Gammaproteobacteria","B10D7D","SAMN14908250","PRJNA632188","GCA_013409125.2","Complete","chromosome:NZ_CP060009.1/CP060009.1",1,"2020-08-06T00:00:00Z"
"Tabrizicola piscis","Bacteria;Proteobacteria;Alphaproteobacteria","K13M18","SAMN10518959","PRJNA508289","GCA_003940805.1","Complete","chromosome:NZ_CP034328.1/CP034328.1; plasmid unnamed1:NZ_CP034329.1/CP034329.1; plasmid unnamed2:NZ_CP034330.1/CP034330.1; plasmid unnamed3:NZ_CP034331.1/CP034331.1; plasmid unnamed4:NZ_CP034332.1/CP034332.1",5,"2018-12-12T00:00:00Z"
"Paenibacillus protaetiae","Bacteria;Terrabacteria group;Firmicutes","FW100M-2","SAMN10817550","PRJNA516957","GCA_004135365.1","Complete","chromosome:NZ_CP035492.1/CP035492.1",1,"2019-02-03T00:00:00Z"
"Agromyces protaetiae","Bacteria;Terrabacteria group;Actinobacteria","FW100M-8","SAMN10817494","PRJNA516954","GCA_004135405.1","Complete","chromosome:NZ_CP035491.1/CP035491.1",1,"2019-02-03T00:00:00Z"
"Cellulomonas shaoxiangyii","Bacteria;Terrabacteria group;Actinobacteria","Z28","SAMN11356698","PRJNA431689","GCA_004798685.1","Complete","chromosome:NZ_CP039291.1/CP039291.1",1,"2019-04-17T00:00:00Z"
"Thermosulfuriphilus ammonigenes","Bacteria;Thermodesulfobacteria;Thermodesulfobacteria","ST65","SAMN14116118","PRJNA606893","GCA_011207455.1","Complete","chromosome:NZ_CP048877.1/CP048877.1",1,"2020-03-12T00:00:00Z"
"Lysobacter alkalisoli","Bacteria;Proteobacteria;Gammaproteobacteria","SJ-36","SAMN12136107","PRJNA550965","GCA_006547045.1","Complete","chromosome:NZ_CP041242.1/CP041242.1",1,"2019-07-03T00:00:00Z"
"Jeotgalibaca porci","Bacteria;Terrabacteria group;Firmicutes","CCUG 69148","SAMN14260655","PRJNA609846","GCA_011299095.1","Complete","chromosome:NZ_CP049889.1/CP049889.1; plasmid p_unnamed1:NZ_CP049890.1/CP049890.1",2,"2020-03-16T00:00:00Z"
"Salaquimonas pukyongi","Bacteria;Proteobacteria;Alphaproteobacteria","RR3-28","SAMN06199440","PRJNA360029","GCA_001953055.1","Complete","chromosome:NZ_CP019044.1/CP019044.1",1,"2017-01-17T00:00:00Z"
"Enterococcus saigonensis","Bacteria;Terrabacteria group;Firmicutes","VE80","SAMD00198474","PRJDB9118","GCA_011397115.1","Complete","chromosome:NZ_AP022822.1/AP022822.1; plasmid pVE80-1:NZ_AP022823.1/AP022823.1; plasmid pVE80-2:NZ_AP022824.1/AP022824.1; plasmid pVE80-3:NZ_AP022825.1/AP022825.1",4,"2020-02-26T23:04:00Z"
"Companilactobacillus zhachilii","Bacteria;Terrabacteria group;Firmicutes","HBUAS52074","SAMN09899663","PRJNA487468","GCA_003606365.2","Complete","chromosome:NZ_CP031933.2/CP031933.2",1,"2018-10-01T00:00:00Z"
"Nocardioides euryhalodurans","Bacteria;Terrabacteria group;Actinobacteria","MMS17-SY117","SAMN10923273","PRJNA521813","GCA_004564375.1","Complete","chromosome:NZ_CP038267.1/CP038267.1",1,"2019-04-02T00:00:00Z"
"Nocardioides seonyuensis","Bacteria;Terrabacteria group;Actinobacteria","MMS17-SY207-3","SAMN10923274","PRJNA521814","GCA_004683965.1","Complete","chromosome:NZ_CP038436.1/CP038436.1",1,"2019-04-06T00:00:00Z"
"Bartonella kosoyi","Bacteria;Proteobacteria;Alphaproteobacteria","Tel Aviv","SAMN08765113","PRJNA439376","GCA_003606325.3","Complete","chromosome:NZ_CP031843.2/CP031843.2; plasmid pTLV-1:NZ_CP042964.1/CP042964.1",2,"2018-09-28T00:00:00Z"
"Bartonella krasnovii","Bacteria;Proteobacteria;Alphaproteobacteria","OE 1-1","SAMN08765112","PRJNA439376","GCA_003606345.3","Complete","chromosome:NZ_CP031844.2/CP031844.2; plasmid pOE11-1:NZ_CP042965.1/CP042965.1",2,"2018-09-28T00:00:00Z"
"Phytohabitans flavus","Bacteria;Terrabacteria group;Actinobacteria","NBRC 107702","SAMD00208788","PRJDB9400","GCA_011764545.1","Complete","chromosome:NZ_AP022870.1/AP022870.1",1,"2020-03-23T23:06:00Z"
"Phytohabitans suffuscus","Bacteria;Terrabacteria group;Actinobacteria","NBRC 105367","SAMD00208791","PRJDB9403","GCA_011764565.1","Complete","chromosome:NZ_AP022871.1/AP022871.1",1,"2020-03-23T23:08:00Z"
"Sulfurimicrobium lacus","Bacteria;Proteobacteria;Betaproteobacteria","skT11","SAMD00209865","PRJDB9431","GCA_011764585.1","Complete","chromosome:NZ_AP022853.1/AP022853.1",1,"2020-03-23T23:03:00Z"
"Parashewanella tropica","Bacteria;Proteobacteria;Gammaproteobacteria","MEBiC05444","SAMN11110833","PRJNA526811","GCA_004358445.1","Complete","chromosome:NZ_CP037951.1/CP037951.1",1,"2019-03-20T00:00:00Z"
"Corynebacterium rouxii","Bacteria;Terrabacteria group;Actinobacteria","FRC0190","SAMEA5992727","PRJEB22103","GCA_902702935.1","Complete","chromosome 1:NZ_LR738855.1/LR738855.1",1,"2019-11-22T00:00:00Z"
"Thermosulfurimonas marina","Bacteria;Thermodesulfobacteria;Thermodesulfobacteria","SU872","SAMN12566302","PRJNA560002","GCA_012317585.1","Complete","chromosome:NZ_CP042909.1/CP042909.1",1,"2020-04-15T00:00:00Z"
"Rothia terrae","Bacteria;Terrabacteria group;Actinobacteria","KJZ-14","SAMN16132433","PRJNA663434","GCA_014705925.2","Complete","chromosome:NZ_CP061539.1/CP061539.1; plasmid p1:NZ_CP062960.1/CP062960.1; plasmid p2:NZ_CP062961.1/CP062961.1; plasmid p3:NZ_CP062962.1/CP062962.1; plasmid p4:NZ_CP062963.1/CP062963.1",5,"2020-09-23T00:00:00Z"
"Limnospira fusiformis SAG 85.79","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","SAG 85.79","SAMN14546157","PRJNA623410","GCA_012516315.1","Complete","chromosome:NZ_CP051185.1/CP051185.1",1,"2020-04-18T00:00:00Z"
"Polaromonas vacuolata","Bacteria;Proteobacteria;Betaproteobacteria","KCTC 22033","SAMN14483341","PRJNA616174","GCA_012584515.1","Complete","chromosome:NZ_CP051461.1/CP051461.1",1,"2020-04-21T00:00:00Z"
"Rhizobium oryzihabitans","Bacteria;Proteobacteria;Alphaproteobacteria","M15","SAMN14048699","PRJNA605095","GCA_010669145.1","Complete","chromosome M15-11:NZ_CP048632.1/CP048632.1; chromosome M15-12:NZ_CP048635.1/CP048635.1; plasmid p1:NZ_CP048633.1/CP048633.1; plasmid p2:NZ_CP048634.1/CP048634.1; plasmid p4:NZ_CP048636.1/CP048636.1; plasmid p5:NZ_CP048637.1/CP048637.1; plasmid p6:NZ_CP048638.1/CP048638.1; plasmid p7:NZ_CP048639.1/CP048639.1; plasmid p8:NZ_CP048640.1/CP048640.1",9,"2020-02-17T00:00:00Z"
"Roseobacter ponti","Bacteria;Proteobacteria;Alphaproteobacteria","DSM 106830","SAMN14082710","PRJNA605959","GCA_012932215.1","Complete","chromosome:NZ_CP048788.1/CP048788.1; plasmid p1:NZ_CP048789.1/CP048789.1",2,"2020-04-29T00:00:00Z"
"Pseudomonas multiresinivorans","Bacteria;Proteobacteria;Gammaproteobacteria","populi","SAMN14091588","PRJNA606475","GCA_012971725.1","Complete","chromosome:NZ_CP048833.1/CP048833.1",1,"2020-05-04T00:00:00Z"
"Sulfuriferula nivalis","Bacteria;Proteobacteria;Betaproteobacteria","SGTM","SAMD00179560","PRJDB8550","GCA_009937995.1","Complete","chromosome:NZ_AP021881.1/AP021881.1; plasmid SGTM_pl1:NZ_AP021882.1/AP021882.1; plasmid SGTM_pl2:NZ_AP021883.1/AP021883.1",3,"2020-01-17T23:11:00Z"
"Lacipirellula parvula","Bacteria;PVC group;Planctomycetes","PX69","SAMD00187762","PRJDB8786","GCA_009177095.1","Complete","chromosome:NZ_AP021861.1/AP021861.1",1,"2019-10-10T23:09:00Z"
"Empedobacter stercoris","Bacteria;FCB group;Bacteroidetes/Chlorobi group","ES183","SAMN14910119","PRJNA632466","GCA_014621655.1","Complete","chromosome:NZ_CP053698.1/CP053698.1; plasmid pES183-1:NZ_CP053699.1/CP053699.1; plasmid pES183-2:NZ_CP053700.1/CP053700.1; plasmid pES183-3:NZ_CP053701.1/CP053701.1",4,"2020-09-17T00:00:00Z"
"Erythrobacter aureus","Bacteria;Proteobacteria;Alphaproteobacteria","YH-07","SAMN09702117","PRJNA482272","GCA_003355455.1","Complete","chromosome:NZ_CP031357.1/CP031357.1; plasmid unnamed:NZ_CP031358.1/CP031358.1",2,"2018-08-06T00:00:00Z"
"Shewanella khirikhana","Bacteria;Proteobacteria;Gammaproteobacteria","TH2012","SAMN06480555","PRJNA378141","GCA_003957745.1","Complete","chromosome:NZ_CP020373.1/CP020373.1; plasmid pSTH1:NZ_CP020374.1/CP020374.1",2,"2018-12-21T00:00:00Z"
"Parasedimentitalea marina","Bacteria;Proteobacteria;Alphaproteobacteria","W43","SAMN10274220","PRJNA497983","GCA_004006175.1","Complete","chromosome:NZ_CP033219.1/CP033219.1; plasmid pW43A:NZ_CP033220.1/CP033220.1; plasmid pW43B:NZ_CP033221.1/CP033221.1; plasmid pW43C:NZ_CP033222.1/CP033222.1; plasmid pW43D:NZ_CP033223.1/CP033223.1",5,"2019-01-09T00:00:00Z"
"Brachybacterium avium","Bacteria;Terrabacteria group;Actinobacteria","VR2415","SAMN07303506","PRJNA392612","GCA_002216795.1","Complete","chromosome:NZ_CP022316.1/CP022316.1; plasmid unnamed1:NZ_CP022317.1/CP022317.1; plasmid unnamed2:NZ_CP022318.1/CP022318.1",3,"2017-07-12T00:00:00Z"
"Brachybacterium vulturis","Bacteria;Terrabacteria group;Actinobacteria","VM2412","SAMN07303503","PRJNA392611","GCA_002407185.1","Complete","chromosome:NZ_CP023563.1/CP023563.1",1,"2017-10-02T00:00:00Z"
"Rhodoferax sediminis","Bacteria;Proteobacteria;Betaproteobacteria","CHu59-6-5","SAMN10822632","PRJNA517230","GCA_006970865.1","Complete","chromosome:NZ_CP035503.1/CP035503.1",1,"2019-07-15T00:00:00Z"
"Allofrancisella frigidaquae","Bacteria;Proteobacteria;Gammaproteobacteria","SYSU 10HL1970","SAMN11176079","PRJNA528207","GCA_012222825.1","Complete","chromosome:NZ_CP038017.1/CP038017.1",1,"2020-04-09T00:00:00Z"
"Campylobacter canadensis","Bacteria;Proteobacteria;delta/epsilon subdivisions","LMG 24001","SAMN03737966","PRJNA284973","GCA_013177655.1","Complete","chromosome:NZ_CP035946.1/CP035946.1",1,"2020-05-27T00:00:00Z"
"Pseudoarcobacter acticola","Bacteria;Proteobacteria;delta/epsilon subdivisions","KCTC 52212","SAMN12421736","PRJNA558024","GCA_013177675.1","Complete","chromosome:NZ_CP042652.1/CP042652.1",1,"2020-05-27T00:00:00Z"
"Tenuifilum thalassicum","Bacteria;FCB group;Bacteroidetes/Chlorobi group","38H-str","SAMN11940085","PRJNA545959","GCA_013265555.1","Complete","chromosome:NZ_CP041345.1/CP041345.1",1,"2020-06-03T00:00:00Z"
"Kroppenstedtia pulmonis","Bacteria;Terrabacteria group;Firmicutes","W9323","SAMN13905715","PRJNA602730","GCA_013265585.1","Complete","chromosome:NZ_CP048104.1/CP048104.1",1,"2020-06-03T00:00:00Z"
"Jeotgalibaca ciconiae","Bacteria;Terrabacteria group;Firmicutes","H21T32","SAMN10578765","PRJNA509316","GCA_003955755.1","Complete","chromosome:NZ_CP034465.1/CP034465.1",1,"2018-12-19T00:00:00Z"
"Streptacidiphilus bronchialis","Bacteria;Terrabacteria group;Actinobacteria","DSM 106435","SAMN08720249","PRJNA438532","GCA_003258605.2","Complete","chromosome:NZ_CP031264.1/CP031264.1",1,"2018-07-26T00:00:00Z"
"Streptomyces cyaneochromogenes","Bacteria;Terrabacteria group;Actinobacteria","MK-45","SAMN10587373","PRJNA509702","GCA_003963535.1","Complete","chromosome:NZ_CP034539.1/CP034539.1",1,"2018-12-23T00:00:00Z"
"Weissella cryptocerci","Bacteria;Terrabacteria group;Firmicutes","26KH-42","SAMN10737330","PRJNA514919","GCA_004358325.1","Complete","chromosome:NZ_CP037940.1/CP037940.1",1,"2019-03-20T00:00:00Z"
"Azospirillum ramasamyi","Bacteria;Proteobacteria;Alphaproteobacteria","M2T2B2","SAMN09302594","PRJNA474386","GCA_003233655.1","Complete","chromosome:NZ_CP029829.1/CP029829.1; plasmid unnamed1:NZ_CP029830.1/CP029830.1; plasmid unnamed2:NZ_CP029832.1/CP029832.1; plasmid unnamed3:NZ_CP029833.1/CP029833.1; plasmid unnamed4:NZ_CP029834.1/CP029834.1; plasmid unnamed5:NZ_CP029835.1/CP029835.1; plasmid unnamed6:NZ_CP029836.1/CP029836.1; plasmid unnamed7:NZ_CP029831.1/CP029831.1",8,"2018-06-16T00:00:00Z"
